Username,Platform,Category / Niche,Followers Count,Engagement Rate %,Average Likes,Average Comments,Location,Influencer Tier,Engagement Score,Follower Tier Score,Influencer Score,Potential Category,Contact Available
24h_social,instagram,digital creator,12409,0.0,0.08,0.0,usa,micro,1,5,68,medium potential,1
360marketing__,instagram,marketing agency,9969,0.0,0.5,0.07,global,micro,1,5,68,medium potential,1
aalchemy.growth,instagram,education,128,0.2,48.25,6.13,global,below threshold,1,0,28,low potential,1
prasegi_art,instagram,artist,6521,0.32,20.85,0.31,global,micro,1,5,68,medium potential,1
aceacademyamsc,instagram,educational consultant,195,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
acemanagement01,instagram,consulting agency,9268,0.0,0.0,0.0,india,micro,1,5,68,medium potential,1
agileconsultants,instagram,education,26555,0.03,7.28,0.62,uae,micro,1,5,68,medium potential,1
aicskanpur,instagram,education,216,0.0,0.0,0.0,india,below threshold,1,0,28,low potential,1
american_computer_albania,instagram,electronics company,30732,0.03,7.75,0.13,global,micro,1,5,68,medium potential,1
karishmaticmarketer,instagram,digital creator,113633,1.81,1571.0,499.69,india,mid,2,4,68,medium potential,1
arabexpertofficial,instagram,business service,33602,0.0,1.67,0.0,uae,micro,1,5,68,medium potential,1
arcraftinfotech,instagram,education,1701,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
avasantllc,instagram,product/service,108,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
hakgrazbachgasse,instagram,junior high school,1895,6.25,118.5,0.0,global,below threshold,5,0,60,medium potential,1
dainikbhaskarhindi,instagram,news & media website,8279,0.02,1.33,0.01,global,micro,1,5,68,medium potential,1
bispa_softech,instagram,software company,1014,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
bloomnet_digital,instagram,marketing agency,108,3.7,3.8,0.2,global,below threshold,3,0,44,medium potential,1
bluor.money,instagram,education,59403,2.38,31000.0,6.7,global,mid,3,4,76,high potential,1
bnichennaib,instagram,community,3614,0.36,12.45,0.48,global,below threshold,1,0,28,low potential,1
chefbnado401,instagram,entrepreneur,3737,1.81,61.38,6.38,global,below threshold,2,0,36,low potential,1
bridge2capital_india,instagram,financial service,202,0.03,2.88,5.41,global,below threshold,1,0,28,low potential,1
business_remedies,instagram,media/news company,424,0.06,0.0,0.26,india,below threshold,1,0,28,low potential,1
glamd_by_cam,instagram,"beauty, cosmetic & personal care",654,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
classroom.2015,instagram,computer training school,189,0.14,1.81,0.0,global,below threshold,1,0,28,low potential,1
comsats.uni_lhrofficial,instagram,education,27452,0.0,0.0,0.0,pakistan,micro,1,5,68,medium potential,1
leanx_support,instagram,entrepreneur,1242,4.42,5.67,0.17,india,below threshold,4,0,52,medium potential,1
continental__holdings,instagram,employment agency,16646,0.0,0.0,0.0,global,micro,1,5,68,medium potential,1
crony.uae,instagram,e-commerce website,723,0.13,1.33,1.33,uae,below threshold,1,0,28,low potential,1
cryptoverselawyers,instagram,product/service,3041,0.36,7.38,0.0,global,below threshold,1,0,28,low potential,1
cinhed_ghana,instagram,college & university,363,0.24,3.0,0.0,global,below threshold,1,0,28,low potential,1
cyber_puzzle_net,instagram,education,977,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
danielassor__,instagram,entrepreneur,227,0.02,0.18,0.0,german,below threshold,1,0,28,low potential,1
hummingbird_hq,instagram,digital marketing agency,1689,0.37,6.2,0.0,global,below threshold,1,0,28,low potential,1
visionears_productions,instagram,marketing agency,626,3.4,16.11,5.22,"lebanon,beirut",below threshold,3,0,44,medium potential,1
directclicksinc,instagram,marketing agency,233,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
dominguezmarketing,instagram,marketing agency,957,0.0,0.0,0.0,usa,below threshold,1,0,28,low potential,1
dreamcrestlimited,instagram,entrepreneur,394,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
driems.polytechnic,instagram,college & university,1089,26.03,283.25,0.75,unknown,below threshold,5,0,60,medium potential,1
ecelliitbhu,instagram,education,7327,1.27,90.13,2.59,global,micro,2,5,76,high potential,1
v_edc,instagram,education,4736,0.0,0.0,0.0,india,below threshold,1,0,28,low potential,1
eline.cab,instagram,education,27151,0.67,170.5,11.2,global,micro,1,5,68,medium potential,1
eiskenya,instagram,education,577,0.58,36.75,0.0,british,below threshold,1,0,28,low potential,1
englishcuilhr,instagram,education website,119,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
livia_kitchenandmore,instagram,chef,1719,0.0,0.0,0.0,unknown,below threshold,1,0,28,low potential,1
e_touch_solutions,instagram,advertising/marketing,401,0.42,1.67,0.0,india,below threshold,1,0,28,low potential,1
exelance_it,instagram,education,6756,0.0,0.0,0.0,global,micro,1,5,68,medium potential,1
eyazerbaijan,instagram,education,6047,1.15,65.32,4.23,global,micro,2,5,76,high potential,1
eyromania,instagram,consulting agency,2059,0.0,0.0,0.0,romania,below threshold,1,0,28,low potential,1
focusorganisation,instagram,education,1156,0.14,1.25,0.38,global,below threshold,1,0,28,low potential,1
freezonemarket.ae,instagram,business consultant,1445,0.28,21.2,0.13,global,below threshold,1,0,28,low potential,1
future_tech_isb,instagram,education,25325,5.03,9.5,0.0,india,micro,4,5,92,high potential,1
gendigital.academy,instagram,community organization,1894,5.75,31.5,1.96,global,below threshold,4,0,52,medium potential,1
gfsc_global,instagram,legal service,457,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
gkis_official,instagram,information technology company,839,0.0,0.0,0.0,global,below threshold,1,0,28,low potential,1
globedesignsolutions,instagram,information technology company,3719,0.0,0.0,0.0,usa,below threshold,1,0,28,low potential,1
gnauniversity,instagram,college & university,12109,1.57,188.96,1.14,india,micro,2,5,76,high potential,1
graceintldamak,instagram,education,223,1.47,3.21,0.05,global,below threshold,2,0,36,low potential,1
graphi_doo,instagram,social media agency,557,1.24,7.0,0.0,global,below threshold,2,0,36,low potential,1
greatindianenterprenurs,instagram,education,474,2.15,0.0,12.88,india,below threshold,3,0,44,medium potential,1
groviqgroup,instagram,business consultant,459,1.6,8.43,0.0,india,below threshold,2,0,36,low potential,1
haquetan,instagram,education,336,9.37,32.0,1.0,global,below threshold,5,0,60,medium potential,1
haridwaruniversity,instagram,education,4025,0.0,0.0,0.0,india,below threshold,1,0,28,low potential,1
hello_auditor,instagram,education,773,0.0,0.0,0.0,india,below threshold,1,0,28,low potential,1
hidmhisar,instagram,education,13079,0.0,0.0,0.0,india,micro,1,5,68,medium potential,1
highspeedmediallc,instagram,marketing agency,1305,0.43,5.29,0.29,global,below threshold,1,0,28,low potential,1
hntrixglobal,instagram,education,2893,0.09,1.8,0.8,india,below threshold,1,0,28,low potential,1
humayoon_sakhi_official,instagram,actor,1273,0.11,0.11,0.0,afghanistan,below threshold,1,0,28,low potential,1
